Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident,lat,long,State
Foggy,Highway,Evening,3,101,7,0,Moderate,Icy,Bus,28,3,Daylight,1,15.99170349297843,78.07607616722275,Andhra Pradesh
Rainy,City Road,Afternoon,2,93,1,0,Moderate,Wet,Car,61,43,Daylight,1,18.361983808388693,79.88720612077563,Telangana
Foggy,City Road,Afternoon,3,91,19,0,Moderate,Dry,Bus,54,34,Daylight,1,19.21460454483191,81.45860918426193,Telangana
Rainy,Highway,Afternoon,1,31,15,0,Low,Dry,Truck,64,44,Artificial Light,0,17.848039838117586,80.68142529691904,Andhra Pradesh
Rainy,City Road,Afternoon,2,33,18,0,Low,Wet,Bike,53,30,Daylight,0,17.075265458087358,81.57371809832749,Andhra Pradesh
Clear,City Road,Night,1,109,13,0,Moderate,Dry,Truck,43,25,Artificial Light,1,17.74258489809922,81.6691748798407,Andhra Pradesh
Clear,Highway,Morning,3,38,1,0,Low,Icy,Bus,68,50,Artificial Light,0,15.011318463934675,77.6572123607129,Andhra Pradesh
Foggy,City Road,Morning,3,102,8,0,Moderate,Dry,Truck,40,17,Artificial Light,1,19.01341535418484,78.54306412558572,Telangana
Foggy,Highway,Evening,1,76,14,0,Low,Dry,Bike,31,7,Daylight,0,17.870887766443804,81.66359655002049,Andhra Pradesh
Clear,Rural Road,Evening,3,81,4,1,High,Icy,Bus,62,38,Daylight,1,16.032001190201534,78.95742892096023,Telangana
Foggy,City Road,Night,2,71,13,0,Low,Dry,Bike,45,24,Artificial Light,0,15.604335993246396,79.04440204193457,Andhra Pradesh
Rainy,Rural Road,Night,1,91,1,0,Moderate,Icy,Bike,69,47,Daylight,1,18.392356829914323,78.13526305310936,Telangana
Rainy,Highway,Morning,3,73,15,0,Moderate,Dry,Truck,66,43,Daylight,1,17.51516884281935,80.7294170523076,Telangana
Foggy,Highway,Morning,1,85,17,0,Low,Wet,Bike,45,22,Daylight,0,17.055705552179425,81.46711687963048,Andhra Pradesh
Rainy,Highway,Night,2,61,6,0,Moderate,Icy,Bus,34,10,Artificial Light,1,18.46073748188437,80.73625891339337,Andhra Pradesh
Foggy,Rural Road,Night,1,102,6,0,Moderate,Icy,Truck,53,33,Artificial Light,1,16.85872936402442,83.8973679089341,Andhra Pradesh
Clear,Highway,Night,3,111,8,0,Moderate,Dry,Car,67,43,Daylight,1,17.307202004723184,83.08259744692113,Andhra Pradesh
Rainy,Highway,Night,1,31,1,0,Moderate,Dry,Car,49,29,Daylight,1,15.056821592234831,78.29700558629125,Andhra Pradesh
Foggy,City Road,Night,1,53,11,1,Moderate,Wet,Truck,37,14,Daylight,1,17.028552526317277,81.2186652854738,Andhra Pradesh
Rainy,City Road,Afternoon,2,64,16,1,High,Dry,Truck,50,27,Daylight,1,17.037067512135216,81.50611582714038,Andhra Pradesh
Foggy,Highway,Night,1,77,12,0,Low,Wet,Bus,39,16,Artificial Light,0,16.42134332924973,78.88836556128656,Andhra Pradesh
Foggy,Rural Road,Afternoon,1,59,1,0,Low,Dry,Car,65,45,Artificial Light,0,16.651167227708132,83.82998127295949,Andhra Pradesh
Rainy,Highway,Afternoon,1,35,3,0,Low,Dry,Truck,46,28,Artificial Light,0,16.68413397216495,82.59665605502633,Andhra Pradesh
Foggy,Highway,Morning,3,62,3,0,Low,Dry,Bike,48,25,Artificial Light,0,15.621262050296721,78.11502466407235,Andhra Pradesh
Foggy,City Road,Evening,2,56,10,1,Moderate,Dry,Truck,50,32,Daylight,1,18.430030738908943,81.37812565991887,Andhra Pradesh
Rainy,Rural Road,Afternoon,1,53,13,0,Low,Icy,Car,53,31,Artificial Light,0,18.571707781015444,80.52116038842993,Telangana
Foggy,Rural Road,Evening,2,95,19,0,Low,Icy,Bike,39,20,Artificial Light,0,14.78226848553412,78.12352138365735,Andhra Pradesh
Rainy,Rural Road,Night,1,126,8,0,Moderate,Dry,Bus,21,0,Daylight,1,18.23219126722338,83.81356805123188,Andhra Pradesh
Clear,City Road,Night,2,59,19,0,Low,Icy,Bus,45,26,Daylight,0,16.80965722519544,83.80657690574078,Andhra Pradesh
Foggy,Highway,Night,1,30,1,0,Low,Wet,Bike,65,47,Artificial Light,0,16.207484562074434,77.96605505851129,Andhra Pradesh
Foggy,Highway,Afternoon,1,96,12,0,Low,Icy,Car,39,21,Daylight,0,17.902279188834946,82.88039159906441,Andhra Pradesh
Rainy,City Road,Night,1,105,16,0,Moderate,Dry,Bus,53,35,Artificial Light,1,16.530789783382616,82.54024119881493,Andhra Pradesh
Clear,City Road,Night,3,39,19,0,High,Dry,Truck,22,0,Artificial Light,1,17.40050849228578,83.85153355279336,Andhra Pradesh
Rainy,Rural Road,Night,1,62,19,0,Moderate,Icy,Car,50,25,Artificial Light,1,17.43604480233398,81.1470675513228,Telangana
Rainy,City Road,Morning,3,64,17,0,Moderate,Dry,Bike,27,8,Artificial Light,1,16.57301648357193,80.36056434071764,Telangana
Clear,City Road,Morning,3,58,4,0,Moderate,Dry,Car,53,34,Daylight,0,19.805728513199668,77.6788975741028,Telangana
Foggy,Rural Road,Afternoon,1,41,17,0,Low,Icy,Car,52,34,Artificial Light,0,17.36716558526523,80.82418919067979,Andhra Pradesh
Rainy,Highway,Evening,3,78,4,0,Moderate,Dry,Bus,29,11,Daylight,1,16.2863716596214,78.49824823723014,Andhra Pradesh
Rainy,Rural Road,Night,1,98,3,0,Moderate,Icy,Car,53,31,Daylight,0,16.86071773283731,79.24169559933107,Telangana
Rainy,Rural Road,Afternoon,1,64,11,0,Low,Icy,Truck,26,7,Artificial Light,0,14.022635403950927,78.8557441758148,Andhra Pradesh
Clear,City Road,Morning,2,56,2,0,Low,Dry,Bike,36,11,Artificial Light,0,15.594220617239838,78.05665078395602,Andhra Pradesh
Foggy,Highway,Morning,2,60,19,0,Low,Wet,Bus,44,25,Artificial Light,0,14.228478715829441,77.95832177387364,Andhra Pradesh
Rainy,City Road,Afternoon,1,68,1,0,Low,Wet,Car,66,48,Artificial Light,0,15.846807876816417,77.5316147742261,Andhra Pradesh
Clear,Highway,Morning,3,50,16,0,Low,Icy,Truck,54,33,Daylight,0,16.81834266751618,78.20771047006788,Telangana
Clear,City Road,Evening,3,30,3,1,High,Dry,Bus,29,10,Artificial Light,1,16.995119540559774,80.71884203509995,Andhra Pradesh
Clear,City Road,Night,2,37,18,0,Low,Dry,Car,53,28,Daylight,0,17.681656118046963,80.64384733149498,Telangana
Clear,Highway,Morning,2,64,6,1,Moderate,Dry,Bus,42,23,Artificial Light,1,15.6821791714952,77.68664311063336,Andhra Pradesh
Foggy,Highway,Afternoon,1,47,15,0,Low,Dry,Bike,42,19,Daylight,0,16.096229584607563,79.35170773254002,Andhra Pradesh
Foggy,Rural Road,Morning,1,84,6,0,Moderate,Dry,Bus,22,0,Daylight,0,16.331776270331904,78.75178412206151,Andhra Pradesh
Clear,Highway,Afternoon,1,30,19,0,Low,Wet,Car,66,41,Artificial Light,0,17.733567215705083,83.10008522783778,Andhra Pradesh
Rainy,City Road,Afternoon,2,32,18,1,High,Wet,Truck,22,0,Artificial Light,1,18.825461312751504,79.65081041358434,Telangana
Foggy,Rural Road,Morning,1,43,2,0,Low,Icy,Bike,51,28,Artificial Light,0,16.08068074926767,78.9442308106216,Telangana
Foggy,City Road,Night,1,67,1,0,Moderate,Wet,Bus,59,39,Daylight,0,19.575143094699765,79.9469098758599,Telangana
Clear,City Road,Afternoon,1,95,13,0,Low,Icy,Truck,28,8,Daylight,0,18.007160967348426,78.46361151759632,Telangana
Rainy,Highway,Evening,3,56,18,0,Moderate,Icy,Bus,38,16,Artificial Light,1,18.290692178306337,82.83262066634393,Andhra Pradesh
Clear,Highway,Morning,2,75,2,0,Low,Wet,Car,44,26,Artificial Light,0,19.028286809684563,79.33542348841799,Telangana
Rainy,Rural Road,Evening,1,110,4,0,Moderate,Dry,Bus,69,45,Daylight,1,14.620959021858019,79.12255990965201,Andhra Pradesh
Foggy,City Road,Night,2,55,14,0,Low,Icy,Bus,20,0,Daylight,0,17.385091029629493,82.77262813601908,Andhra Pradesh
Rainy,City Road,Evening,3,44,5,0,Moderate,Icy,Car,34,10,Artificial Light,1,14.160015866521553,79.39690944589812,Andhra Pradesh
Clear,City Road,Evening,1,47,15,0,Low,Wet,Bike,64,39,Artificial Light,0,17.387838909012757,80.57669665071253,Andhra Pradesh
Rainy,City Road,Night,2,88,13,0,Moderate,Dry,Car,39,17,Artificial Light,1,17.50526248526026,80.69661627071604,Andhra Pradesh
Rainy,City Road,Afternoon,3,53,9,0,Moderate,Icy,Bus,57,35,Artificial Light,1,18.354221257716855,80.86887626337732,Andhra Pradesh
Foggy,Rural Road,Afternoon,2,123,6,0,Low,Dry,Bike,32,12,Artificial Light,0,18.93420698510957,79.12545395086717,Telangana
Rainy,City Road,Night,3,113,1,0,Low,Icy,Car,43,20,Artificial Light,0,14.650591494963074,77.86683220384512,Andhra Pradesh
Foggy,Highway,Afternoon,2,39,5,0,Low,Wet,Car,57,38,Artificial Light,0,16.64098389128629,81.14976346715434,Andhra Pradesh
Foggy,Rural Road,Night,2,64,17,1,High,Wet,Bike,28,10,Artificial Light,1,16.20422652960877,79.37248907685967,Andhra Pradesh
Rainy,Highway,Night,3,43,3,0,Moderate,Dry,Bus,31,12,Artificial Light,1,14.276079658527756,78.16513112648069,Andhra Pradesh
Foggy,City Road,Night,3,67,1,0,Moderate,Icy,Car,42,24,Daylight,1,17.07020818882212,78.37479764806882,Telangana
Foggy,Rural Road,Evening,2,35,3,0,Low,Wet,Truck,69,45,Daylight,0,17.571107629759346,81.74910091309889,Andhra Pradesh
Clear,City Road,Morning,1,56,1,0,Low,Wet,Bike,27,5,Daylight,0,17.250535550819386,81.09421131015858,Telangana
Foggy,Highway,Night,3,58,8,0,Moderate,Icy,Truck,29,7,Artificial Light,1,19.03610067811071,78.64664040889951,Telangana
Rainy,Rural Road,Evening,1,49,11,1,High,Wet,Bike,25,1,Daylight,1,16.382037542506264,78.2515078466691,Andhra Pradesh
Rainy,City Road,Morning,1,89,11,1,High,Dry,Truck,54,29,Daylight,1,17.511268306843917,83.79392284386786,Andhra Pradesh
Rainy,Rural Road,Morning,2,69,9,1,High,Icy,Car,63,41,Daylight,1,19.392909675883477,77.68206942414288,Telangana
Clear,Rural Road,Afternoon,3,69,15,0,Low,Dry,Car,26,7,Artificial Light,0,17.410196047412807,79.80084459182393,Telangana
Clear,City Road,Evening,2,31,7,0,Low,Wet,Bus,34,9,Daylight,0,17.862843137461315,78.1111564193034,Telangana
Clear,Rural Road,Night,2,117,1,0,Low,Icy,Bus,39,20,Artificial Light,0,19.321148761789434,80.38162168008515,Telangana
Rainy,City Road,Night,3,90,8,0,High,Dry,Truck,30,7,Daylight,1,16.14691069837368,79.2212184634312,Andhra Pradesh
Rainy,Highway,Morning,1,122,16,0,Moderate,Wet,Car,31,11,Daylight,1,17.721093510030848,81.0612789214191,Andhra Pradesh
Rainy,City Road,Evening,3,33,1,0,Moderate,Icy,Bus,20,0,Artificial Light,1,14.448133139348203,79.09608405817336,Andhra Pradesh
Foggy,Rural Road,Night,2,36,8,0,Low,Icy,Bus,41,17,Daylight,0,16.74135245909127,77.75249111070603,Telangana
Clear,Rural Road,Evening,1,121,15,0,Low,Icy,Truck,41,18,Artificial Light,0,16.503984270438142,83.01558866248736,Andhra Pradesh
Clear,City Road,Morning,2,124,16,0,Low,Wet,Bus,50,26,Daylight,0,15.287333374783149,77.87113444242738,Andhra Pradesh
Rainy,City Road,Morning,3,98,11,0,Moderate,Wet,Bus,40,16,Artificial Light,1,16.538257932874576,81.08011861937827,Andhra Pradesh
Clear,City Road,Morning,3,115,12,0,Moderate,Wet,Bike,63,39,Artificial Light,1,14.603842104254204,78.31482405259959,Andhra Pradesh
Clear,City Road,Morning,1,102,11,0,Low,Wet,Bike,46,24,Artificial Light,0,16.944722609496342,82.31728599773072,Andhra Pradesh
Clear,City Road,Night,1,67,2,0,Low,Dry,Bike,29,5,Daylight,0,18.291786000692174,78.3531558765812,Telangana
Rainy,Rural Road,Night,2,41,13,0,Moderate,Icy,Bike,62,44,Artificial Light,1,17.282065738254797,81.31971179824217,Andhra Pradesh
Rainy,City Road,Evening,1,80,4,0,Low,Dry,Car,28,3,Daylight,0,16.70017108524219,81.71135517275324,Telangana
Foggy,City Road,Afternoon,3,53,5,0,Low,Wet,Truck,64,43,Daylight,0,15.39219610793024,78.45628273810364,Andhra Pradesh
Clear,Rural Road,Afternoon,1,55,2,0,Low,Dry,Truck,34,16,Daylight,0,17.58181000767616,82.93750432462637,Andhra Pradesh
Foggy,Rural Road,Afternoon,1,73,19,0,Low,Wet,Truck,36,14,Artificial Light,0,18.6787989943455,78.00696136621562,Telangana
Clear,Rural Road,Morning,3,41,16,1,High,Icy,Car,34,10,Daylight,1,17.85046228351417,79.13620304666028,Telangana
Clear,Rural Road,Evening,2,55,15,0,Low,Icy,Car,40,21,Daylight,0,15.57854730304594,78.72475935275676,Andhra Pradesh
Foggy,Highway,Evening,2,88,18,0,Low,Icy,Bus,35,15,Artificial Light,0,16.27311803293356,80.04649807982004,Telangana
Clear,City Road,Evening,1,72,8,0,Low,Icy,Truck,56,32,Artificial Light,0,17.174413151131503,80.99994687685016,Andhra Pradesh
Rainy,Highway,Night,1,71,12,0,Moderate,Icy,Bus,59,40,Artificial Light,1,14.515630284590381,78.40127655833246,Andhra Pradesh
Foggy,Rural Road,Evening,2,58,17,0,Low,Dry,Truck,33,8,Artificial Light,0,14.510790958497426,78.66795164710518,Andhra Pradesh
Foggy,Highway,Morning,2,78,3,0,Low,Wet,Bike,21,2,Artificial Light,0,16.53624808209146,83.27465339750485,Andhra Pradesh
Foggy,Highway,Evening,1,117,4,0,High,Wet,Car,54,34,Artificial Light,1,17.448510041953906,82.46237403228632,Andhra Pradesh
Clear,City Road,Morning,3,81,4,0,Moderate,Dry,Bus,68,46,Artificial Light,1,15.72157907326969,78.08252648210224,Andhra Pradesh
Clear,City Road,Evening,2,34,5,0,Low,Icy,Car,26,6,Artificial Light,0,17.946887324709824,82.37479809771652,Andhra Pradesh
Rainy,City Road,Afternoon,1,117,3,0,Moderate,Wet,Car,64,46,Daylight,1,16.053470907251736,79.43965018591213,Andhra Pradesh
Foggy,Rural Road,Night,1,38,3,1,High,Wet,Car,32,7,Daylight,1,17.167256791673733,83.2704537090698,Andhra Pradesh
Foggy,City Road,Night,3,34,16,0,Moderate,Wet,Car,65,43,Artificial Light,1,17.650305863419945,78.06217832309615,Telangana
Rainy,Highway,Evening,2,96,8,0,Moderate,Icy,Car,62,44,Artificial Light,1,16.20639969193087,78.57251243912239,Andhra Pradesh
Foggy,Rural Road,Night,1,42,11,0,Low,Dry,Bike,53,29,Daylight,0,17.275652179833862,83.31238180811911,Andhra Pradesh
Rainy,Highway,Evening,3,52,10,0,Moderate,Icy,Car,47,23,Daylight,1,19.497273517039538,78.1563218897387,Telangana
Foggy,City Road,Night,1,75,17,0,Low,Icy,Bike,41,19,Daylight,0,18.254700906265676,81.86291728642607,Andhra Pradesh
Clear,City Road,Evening,3,123,5,0,Moderate,Wet,Truck,44,19,Daylight,1,18.436131624101517,80.73297654769978,Andhra Pradesh
Rainy,City Road,Night,3,111,18,1,High,Icy,Car,29,8,Daylight,1,14.185263556437167,78.36357853547295,Andhra Pradesh
Foggy,Highway,Afternoon,3,108,19,0,Moderate,Icy,Bike,51,28,Artificial Light,1,15.083680581889086,79.79351941397678,Andhra Pradesh
Foggy,Rural Road,Evening,1,58,11,0,Low,Wet,Bus,31,10,Artificial Light,0,18.092143068281068,78.70946211738898,Telangana
Foggy,Highway,Evening,2,48,5,1,Moderate,Dry,Bike,55,31,Artificial Light,1,16.702456436209488,78.84744651114497,Telangana
Rainy,Rural Road,Night,3,101,14,0,High,Dry,Car,25,1,Daylight,1,16.637427355447922,81.79350969799371,Andhra Pradesh
Clear,City Road,Evening,2,44,14,0,Low,Wet,Truck,37,16,Daylight,0,17.70337793093082,80.59686743552238,Telangana
Rainy,Highway,Morning,2,117,8,0,Moderate,Dry,Car,25,3,Artificial Light,1,18.492590887358592,80.53119857957702,Telangana
Foggy,Highway,Morning,1,70,8,0,Low,Icy,Truck,58,40,Artificial Light,0,16.935334799161073,82.8158950093995,Andhra Pradesh
Rainy,Highway,Afternoon,2,126,2,0,Moderate,Dry,Car,47,29,Daylight,1,17.78435640953696,77.22497333564122,Telangana
Foggy,City Road,Afternoon,2,44,2,0,Low,Dry,Truck,28,6,Daylight,0,15.932023933225844,78.7613640748852,Andhra Pradesh
Foggy,Highway,Afternoon,2,121,15,0,Low,Icy,Bus,37,12,Artificial Light,0,16.072499635682718,80.80262073280315,Telangana
Foggy,Highway,Night,2,43,11,0,Low,Icy,Truck,30,12,Daylight,0,18.19322570969859,80.87521189264241,Telangana
Clear,Highway,Evening,1,84,19,0,Low,Wet,Bike,36,13,Daylight,0,16.007505179894594,78.69141855273064,Andhra Pradesh
Rainy,Rural Road,Evening,1,122,15,0,Moderate,Dry,Bike,38,14,Artificial Light,1,17.842314946759377,82.6716582476819,Andhra Pradesh
Rainy,City Road,Morning,3,125,9,0,Moderate,Dry,Bike,53,34,Daylight,1,14.424702515126839,77.94844295977066,Andhra Pradesh
Foggy,City Road,Afternoon,1,41,3,0,Low,Dry,Bus,50,30,Artificial Light,0,15.874944496130176,79.58892552401073,Andhra Pradesh
Rainy,City Road,Afternoon,3,66,5,0,Moderate,Dry,Bike,64,41,Artificial Light,1,18.910732816772075,80.00662993815442,Telangana
Clear,Rural Road,Morning,1,57,2,1,Moderate,Dry,Bus,18,0,Artificial Light,1,18.48194422181428,81.37890124251805,Telangana
Foggy,City Road,Evening,2,43,16,0,Low,Wet,Truck,47,29,Daylight,1,17.764782648656777,81.0476685060126,Andhra Pradesh
Rainy,Highway,Evening,1,76,5,0,Low,Dry,Car,61,36,Artificial Light,0,17.932794223916197,81.44829944410728,Andhra Pradesh
Rainy,City Road,Afternoon,1,66,1,0,Low,Wet,Car,22,4,Daylight,0,17.127653616448832,81.34525219797492,Andhra Pradesh
Rainy,Rural Road,Evening,2,127,18,1,High,Icy,Bus,64,44,Artificial Light,1,17.349701685736175,83.67743479859237,Andhra Pradesh
